	fuzzy	strategy	similarity_metric	n_components	model	accuracy	precision	recall	f1_score
0	True	selective_intersection+intersection+mean	wasserstein-2	1	selective_intersection+intersection+mean_wasserstein-2	0.65	0.6111111111111112	1.0	0.7586206896551724
1	True	selective_intersection+mean	wasserstein-2	1	selective_intersection+mean_wasserstein-2	0.65	0.6111111111111112	1.0	0.7586206896551724
2	True	intersection+intersection	wasserstein-2	0	intersection+intersection_wasserstein-2	0.6	0.5789473684210527	1.0	0.7333333333333333
3	True	intersection+union	wasserstein-2	0	intersection+union_wasserstein-2	0.6	0.5789473684210527	1.0	0.7333333333333333
4	True	selective_intersection+intersection+mean	wasserstein-2	0	selective_intersection+intersection+mean_wasserstein-2	0.6	0.5789473684210527	1.0	0.7333333333333333
5	True	selective_intersection+mean	wasserstein-2	0	selective_intersection+mean_wasserstein-2	0.6	0.5789473684210527	1.0	0.7333333333333333
6	True	selective_intersection+union	wasserstein-2	0	selective_intersection+union_wasserstein-2	0.6	0.5789473684210527	1.0	0.7333333333333333
7	False	baseline_sent	cos	1	baseline_sent_cos	0.65	0.6428571428571429	0.8181818181818182	0.72
8	True	selective_intersection+union	wasserstein-2	1	selective_intersection+union_wasserstein-2	0.6	0.5882352941176471	0.9090909090909091	0.7142857142857143
9	True	selective_intersection+intersection+mean	cos	1	selective_intersection+intersection+mean_cos	0.65	0.6666666666666666	0.7272727272727273	0.6956521739130435
10	True	selective_intersection+mean	cos	1	selective_intersection+mean_cos	0.65	0.6666666666666666	0.7272727272727273	0.6956521739130435
11	True	selective_intersection+union	cos	1	selective_intersection+union_cos	0.65	0.6666666666666666	0.7272727272727273	0.6956521739130435
12	False	baseline_tok	cos	0	baseline_tok_cos	0.55	0.5555555555555556	0.9090909090909091	0.6896551724137931
13	True	mean	quantum	0	mean_quantum	0.55	0.5555555555555556	0.9090909090909091	0.6896551724137931
14	True	mean	quantum	1	mean_quantum	0.55	0.5555555555555556	0.9090909090909091	0.6896551724137931
15	True	intersection+intersection	wasserstein-2	1	intersection+intersection_wasserstein-2	0.55	0.5555555555555556	0.9090909090909091	0.6896551724137931
16	True	intersection+union	wasserstein-2	1	intersection+union_wasserstein-2	0.55	0.5555555555555556	0.9090909090909091	0.6896551724137931
17	False	baseline_tok	cos	1	baseline_tok_cos	0.6	0.6153846153846154	0.7272727272727273	0.6666666666666666
18	True	intersection+mean	wasserstein-2	1	intersection+mean_wasserstein-2	0.5	0.5263157894736842	0.9090909090909091	0.6666666666666666
19	True	selective_intersection+intersection+mean	quantum	0	selective_intersection+intersection+mean_quantum	0.5	0.5294117647058824	0.8181818181818182	0.6428571428571429
20	True	selective_intersection+intersection+mean	quantum	1	selective_intersection+intersection+mean_quantum	0.5	0.5294117647058824	0.8181818181818182	0.6428571428571429
21	True	selective_intersection+mean	quantum	0	selective_intersection+mean_quantum	0.5	0.5294117647058824	0.8181818181818182	0.6428571428571429
22	True	selective_intersection+mean	quantum	1	selective_intersection+mean_quantum	0.5	0.5294117647058824	0.8181818181818182	0.6428571428571429
23	True	baseline_sent	cos	0	baseline_sent_cos	0.55	0.5714285714285714	0.7272727272727273	0.64
24	True	baseline_sent	quantum	0	baseline_sent_quantum	0.55	0.5714285714285714	0.7272727272727273	0.64
25	True	baseline_sent	quantum	1	baseline_sent_quantum	0.55	0.5714285714285714	0.7272727272727273	0.64
26	True	baseline_tok	quantum	0	baseline_tok_quantum	0.55	0.5714285714285714	0.7272727272727273	0.64
27	True	baseline_tok	quantum	1	baseline_tok_quantum	0.55	0.5714285714285714	0.7272727272727273	0.64
28	True	mean	wasserstein-2	0	mean_wasserstein-2	0.55	0.5714285714285714	0.7272727272727273	0.64
29	True	intersection+mean	quantum	1	intersection+mean_quantum	0.6	0.6363636363636364	0.6363636363636364	0.6363636363636364
30	False	baseline_sent	cos	0	baseline_sent_cos	0.55	0.5833333333333334	0.6363636363636364	0.6086956521739131
31	True	baseline_tok	cos	0	baseline_tok_cos	0.55	0.5833333333333334	0.6363636363636364	0.6086956521739131
32	True	selective_intersection+union	quantum	0	selective_intersection+union_quantum	0.45	0.5	0.7272727272727273	0.5925925925925926
33	True	selective_intersection+union	quantum	1	selective_intersection+union_quantum	0.45	0.5	0.7272727272727273	0.5925925925925926
